ano;codigo_questao;rotulo;cabecalho_original
2023;2.o.9;Qualidade dos gestores e líderes;('P2_o_9 ', 'Qualidade dos gestores e líderes')
2023;2.o.10;Reputação que a empresa tem no mercado;('P2_o_10 ', 'Reputação que a empresa tem no mercado')
2023;2.q;Empresa que trabaha passou por layoff em 2023;('P2_q ', 'Empresa que trabaha passou por layoff em 2023')
2023;2.r;Atualmente qual a sua forma de trabalho?;('P2_r ', 'Atualmente qual a sua forma de trabalho?')
2023;2.s;Qual a forma de trabalho ideal para você?;('P2_s ', 'Qual a forma de trabalho ideal para você?')
2023;2.t;Caso sua empresa decida pelo modelo 100% presencial qual será sua atitude?;('P2_t ', 'Caso sua empresa decida pelo modelo 100% presencial qual será sua atitude?')
2023;3.a;Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?;('P3_a ', 'Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?')
2023;3.b;Quais desses papéis/cargos fazem parte do time (ou chapter) de dados da sua empresa?;('P3_b ', 'Quais desses papéis/cargos fazem parte do time (ou chapter) de dados da sua empresa?')
2023;3.b.1;Analytics Engineer;('P3_b_1 ', 'Analytics Engineer')
2023;3.b.2;Engenharia de Dados/Data Engineer;('P3_b_2 ', 'Engenharia de Dados/Data Engineer')
2023;3.b.3;Analista de Dados/Data Analyst;('P3_b_3 ', 'Analista de Dados/Data Analyst')
2023;3.b.4;Cientista de Dados/Data Scientist;('P3_b_4 ', 'Cientista de Dados/Data Scientist')
2023;3.b.5;Database Administrator/DBA;('P3_b_5 ', 'Database Administrator/DBA')
2023;3.b.6;Analista de Business Intelligence/BI;('P3_b_6 ', 'Analista de Business Intelligence/BI')
2023;3.b.7;Arquiteto de Dados/Data Architect;('P3_b_7 ', 'Arquiteto de Dados/Data Architect')
2023;3.b.8;Data Product Manager/DPM;('P3_b_8 ', 'Data Product Manager/DPM')
2023;3.b.9;Business Analyst;('P3_b_9 ', 'Business Analyst')
2023;3.c;Quais dessas responsabilidades fazem parte da sua rotina atual de trabalho como gestor?;('P3_c ', 'Quais dessas responsabilidades fazem parte da sua rotina atual de trabalho como gestor?')
2023;3.c.1;Pensar na visão de longo prazo de dados da empresa e fortalecimento da cultura analítica da companhia.;('P3_c_1 ', 'Pensar na visão de longo prazo de dados da empresa e fortalecimento da cultura analítica da companhia.')
2023;3.c.2;Organização de treinamentos e iniciativas com o objetivo de aumentar a maturidade analítica das áreas de negócios.;('P3_c_2 ', 'Organização de treinamentos e iniciativas com o objetivo de aumentar a maturidade analítica das áreas de negócios.')
2023;3.c.3;Atração, seleção e contratação de talentos para o time de dados.;('P3_c_3 ', 'Atração, seleção e contratação de talentos para o time de dados.')
2023;3.c.4;Decisão sobre contratação de ferramentas e tecnologias relacionadas a dados.;('P3_c_4 ', 'Decisão sobre contratação de ferramentas e tecnologias relacionadas a dados.')
2023;3.c.5;Sou gestor da equipe responsável pela engenharia de dados e por manter o Data Lake da empresa como fonte única dos dados, garantindo a qualidade e confiabilidade da informação.;('P3_c_5 ', 'Sou gestor da equipe responsável pela engenharia de dados e por manter o Data Lake da empresa como fonte única dos dados, garantindo a qualidade e confiabilidade da informação.')
2023;3.c.6;Sou gestor da equipe responsável pela entrega de dados, estudos, relatórios e dashboards para as áreas de negócio da empresa.;('P3_c_6 ', 'Sou gestor da equipe responsável pela entrega de dados, estudos, relatórios e dashboards para as áreas de negócio da empresa.')
2023;3.c.7;Sou gestor da equipe responsável por iniciativas e projetos envolvendo Inteligência Artificial e Machine Learning.;('P3_c_7 ', 'Sou gestor da equipe responsável por iniciativas e projetos envolvendo Inteligência Artificial e Machine Learning.')
2023;3.c.8;Apesar de ser gestor ainda atuo na parte técnica, construindo soluções/análises/modelos etc.;('P3_c_8 ', 'Apesar de ser gestor ainda atuo na parte técnica, construindo soluções/análises/modelos etc.')
2023;3.c.9;Gestão de projetos de dados, cuidando das etapas, equipes envolvidas, atingimento dos objetivos etc.;('P3_c_9 ', 'Gestão de projetos de dados, cuidando das etapas, equipes envolvidas, atingimento dos objetivos etc.')
2023;3.c.10;Gestão de produtos de dados, cuidando da visão dos produtos, backlog, feedback de usuários etc.;('P3_c_10 ', 'Gestão de produtos de dados, cuidando da visão dos produtos, backlog, feedback de usuários etc.')
2023;3.c.11;Gestão de pessoas, apoio no desenvolvimento das pessoas, evolução de carreira;('P3_c_11 ', 'Gestão de pessoas, apoio no desenvolvimento das pessoas, evolução de carreira')
2023;3.d;Quais são os 3 maiores desafios que você tem como gestor no atual momento?;('P3_d ', 'Quais são os 3 maiores desafios que você tem como gestor no atual momento?')
2023;3.d.1;a Contratar novos talentos.;('P3_d_1 ', 'a Contratar novos talentos.')
2023;3.d.2;b Reter talentos.;('P3_d_2 ', 'b Reter talentos.')
2023;3.d.3;c Convencer a empresa a aumentar os investimentos na área de dados.;('P3_d_3 ', 'c Convencer a empresa a aumentar os investimentos na área de dados.')
2023;3.d.4;d Gestão de equipes no ambiente remoto.;('P3_d_4 ', 'd Gestão de equipes no ambiente remoto.')
2023;3.d.5;e Gestão de projetos envolvendo áreas multidisciplinares da empresa.;('P3_d_5 ', 'e Gestão de projetos envolvendo áreas multidisciplinares da empresa.')
2023;3.d.6;f Organizar as informações e garantir a qualidade e confiabilidade.;('P3_d_6 ', 'f Organizar as informações e garantir a qualidade e confiabilidade.')
2023;3.d.7;g Conseguir processar e armazenar um alto volume de dados.;('P3_d_7 ', 'g Conseguir processar e armazenar um alto volume de dados.')
2023;3.d.8;h Conseguir gerar valor para as áreas de negócios através de estudos e experimentos.;('P3_d_8 ', 'h Conseguir gerar valor para as áreas de negócios através de estudos e experimentos.')
2023;3.d.9;i Desenvolver e manter modelos Machine Learning em produção.;('P3_d_9 ', 'i Desenvolver e manter modelos Machine Learning em produção.')
2023;3.d.10;j Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.;('P3_d_10 ', 'j Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.')
2023;3.d.11;k Garantir a manutenção dos projetos e modelos em produção, em meio ao crescimento da empresa.;('P3_d_11 ', 'k Garantir a manutenção dos projetos e modelos em produção, em meio ao crescimento da empresa.')
2023;3.d.12;Conseguir levar inovação para a empresa através dos dados.;('P3_d_12 ', 'Conseguir levar inovação para a empresa através dos dados.')
2023;3.d.13;Garantir retorno do investimento (ROI) em projetos de dados.;('P3_d_13 ', 'Garantir retorno do investimento (ROI) em projetos de dados.')
2023;3.d.14;Dividir o tempo entre entregas técnicas e gestão.;('P3_d_14 ', 'Dividir o tempo entre entregas técnicas e gestão.')
2023;3.e;AI Generativa é uma prioridade em sua empresa?;('P3_e ', 'AI Generativa é uma prioridade em sua empresa?')
2023;3.f;Tipos de uso de AI Generativa e LLMs na empresa;('P3_f ', 'Tipos de uso de AI Generativa e LLMs na empresa')
2023;3.f.1;Colaboradores usando AI generativa de forma independente e descentralizada;('P3_f_1 ', 'Colaboradores usando AI generativa de forma independente e descentralizada')
2023;3.f.2;Direcionamento centralizado do uso de AI generativa;('P3_f_2 ', 'Direcionamento centralizado do uso de AI generativa')
2023;3.f.3;Desenvolvedores utilizando Copilots;('P3_f_3 ', 'Desenvolvedores utilizando Copilots')
2023;3.f.4;AI Generativa e LLMs para melhorar produtos externos;('P3_f_4 ', 'AI Generativa e LLMs para melhorar produtos externos')
2023;3.f.5;AI Generativa e LLMs para melhorar produtos internos para os colaboradores;('P3_f_5 ', 'AI Generativa e LLMs para melhorar produtos internos para os colaboradores')
2023;3.f.6;IA Generativa e LLMs como principal frente do negócio;('P3_f_6 ', 'IA Generativa e LLMs como principal frente do negócio')
2023;3.f.7;IA Generativa e LLMs não é prioridade;('P3_f_7 ', 'IA Generativa e LLMs não é prioridade')
2023;3.f.8;Não sei opinar sobre o uso de IA Generativa e LLMs na empresa;('P3_f_8 ', 'Não sei opinar sobre o uso de IA Generativa e LLMs na empresa')
2023;3.g;Motivos que levam a empresa a não usar AI Genrativa e LLMs;('P3_g ', 'Motivos que levam a empresa a não usar AI Genrativa e LLMs')
2023;3.g.1;Falta de compreensão dos casos de uso;('P3_g_1 ', 'Falta de compreensão dos casos de uso')
2023;3.g.2;Falta de confiabilidade das saídas (alucinação dos modelos);('P3_g_2 ', 'Falta de confiabilidade das saídas (alucinação dos modelos)')
2023;3.g.3;Incerteza em relação a regulamentação;('P3_g_3 ', 'Incerteza em relação a regulamentação')
2023;3.g.4;Preocupações com segurança e privacidade de dados;('P3_g_4 ', 'Preocupações com segurança e privacidade de dados')
2023;3.g.5;Retorno sobre investimento (ROI) não comprovado de IA Generativa;('P3_g_5 ', 'Retorno sobre investimento (ROI) não comprovado de IA Generativa')
2023;3.g.6;Dados da empresa não estão prontos para uso de IA Generativa;('P3_g_6 ', 'Dados da empresa não estão prontos para uso de IA Generativa')
2023;3.g.7;Falta de expertise ou falta de recursos;('P3_g_7 ', 'Falta de expertise ou falta de recursos')
2023;3.g.8;Alta direção da empresa não vê valor ou não vê como prioridade;('P3_g_8 ', 'Alta direção da empresa não vê valor ou não vê como prioridade')
2023;3.g.9;Preocupações com propriedade intelectual;('P3_g_9 ', 'Preocupações com propriedade intelectual')
2023;4.a;Mesmo que esse não seja seu cargo formal, você considera que sua atuação no dia a dia, reflete alguma das opções listadas abaixo?;('P4_a ', 'Mesmo que esse não seja seu cargo formal, você considera que sua atuação no dia a dia, reflete alguma das opções listadas abaixo?')
2023;4.a.1;Atuacao;('P4_a_1 ', 'Atuacao')
2023;4.b;Quais das fontes de dados listadas você já analisou ou processou no trabalho?;('P4_b ', 'Quais das fontes de dados listadas você já analisou ou processou no trabalho?')
2023;4.b.1;Dados relacionais (estruturados em bancos SQL);('P4_b_1 ', 'Dados relacionais (estruturados em bancos SQL)')
2023;4.b.2;Dados armazenados em bancos NoSQL;('P4_b_2 ', 'Dados armazenados em bancos NoSQL')
2023;4.b.3;Imagens;('P4_b_3 ', 'Imagens')
2023;4.b.4;Textos/Documentos;('P4_b_4 ', 'Textos/Documentos')
2023;4.b.5;Vídeos;('P4_b_5 ', 'Vídeos')
2023;4.b.6;Áudios;('P4_b_6 ', 'Áudios')
2023;4.b.7;Planilhas;('P4_b_7 ', 'Planilhas')
2023;4.b.8;Dados georeferenciados;('P4_b_8 ', 'Dados georeferenciados')
2023;4.c;Entre as fontes de dados listadas, quais você utiliza na maior parte do tempo?;('P4_c ', 'Entre as fontes de dados listadas, quais você utiliza na maior parte do tempo?')
2023;4.c.1;Dados relacionais (estruturados em bancos SQL);('P4_c_1 ', 'Dados relacionais (estruturados em bancos SQL)')
2023;4.c.2;Dados armazenados em bancos NoSQL;('P4_c_2 ', 'Dados armazenados em bancos NoSQL')
2023;4.c.3;Imagens;('P4_c_3 ', 'Imagens')
2023;4.c.4;Textos/Documentos;('P4_c_4 ', 'Textos/Documentos')
2023;4.c.5;Vídeos;('P4_c_5 ', 'Vídeos')
2023;4.c.6;Áudios;('P4_c_6 ', 'Áudios')
2023;4.c.7;Planilhas;('P4_c_7 ', 'Planilhas')
2023;4.c.8;Dados georeferenciados;('P4_c_8 ', 'Dados georeferenciados')
2023;4.d;Quais das linguagens listadas abaixo você utiliza no trabalho?;('P4_d ', 'Quais das linguagens listadas abaixo você utiliza no trabalho?')
2023;4.d.1;SQL;('P4_d_1 ', 'SQL')
2023;4.d.2;R;('P4_d_2 ', 'R ')
2023;4.d.3;Python;('P4_d_3 ', 'Python')
2023;4.d.4;C/C++/C#;('P4_d_4 ', 'C/C++/C#')
2023;4.d.5;.NET;('P4_d_5 ', '.NET')
2023;4.d.6;Java;('P4_d_6 ', 'Java')
2023;4.d.7;Julia;('P4_d_7 ', 'Julia')
2023;4.d.8;SAS/Stata;('P4_d_8 ', 'SAS/Stata')
2023;4.d.9;Visual Basic/VBA;('P4_d_9 ', 'Visual Basic/VBA')
2023;4.d.10;Scala;('P4_d_10 ', 'Scala')
2023;4.d.11;Matlab;('P4_d_11 ', 'Matlab')
2023;4.d.12;Rust;('P4_d_12 ', 'Rust')
2023;4.d.13;PHP;('P4_d_13 ', 'PHP')
2023;4.d.14;JavaScript;('P4_d_14 ', 'JavaScript')
2023;4.d.15;Não utilizo nenhuma linguagem;('P4_d_15 ', 'Não utilizo nenhuma linguagem')
2023;4.e;Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?;('P4_e ', 'Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?')
2023;4.f;Entre as linguagens listadas abaixo, qual é a sua preferida?;('P4_f ', 'Entre as linguagens listadas abaixo, qual é a sua preferida?')
2023;4.g;Quais dos bancos de dados/fontes de dados listados abaixo você utiliza no trabalho?;('P4_g ', 'Quais dos bancos de dados/fontes de dados listados abaixo você utiliza no trabalho?')
2023;4.g.1;MySQL;('P4_g_1 ', 'MySQL')
2023;4.g.2;Oracle;('P4_g_2 ', 'Oracle')
2023;4.g.3;SQL SERVER;('P4_g_3 ', 'SQL SERVER')
2023;4.g.4;Amazon Aurora ou RDS;('P4_g_4 ', 'Amazon Aurora ou RDS')
2023;4.g.5;DynamoDB;('P4_g_5 ', 'DynamoDB')
2023;4.g.6;CoachDB;('P4_g_6 ', 'CoachDB')
2023;4.g.7;Cassandra;('P4_g_7 ', 'Cassandra')
2023;4.g.8;MongoDB;('P4_g_8 ', 'MongoDB')
2023;4.g.9;MariaDB;('P4_g_9 ', 'MariaDB')
2023;4.g.10;Datomic;('P4_g_10 ', 'Datomic')
2023;4.g.11;S3;('P4_g_11 ', 'S3')
2023;4.g.12;PostgreSQL;('P4_g_12 ', 'PostgreSQL')
2023;4.g.13;ElasticSearch;('P4_g_13 ', 'ElasticSearch')
2023;4.g.14;DB2;('P4_g_14 ', 'DB2')
2023;4.g.15;Microsoft Access;('P4_g_15 ', 'Microsoft Access')
2023;4.g.16;SQLite;('P4_g_16 ', 'SQLite')
2023;4.g.17;Sybase;('P4_g_17 ', 'Sybase')
2023;4.g.18;Firebase;('P4_g_18 ', 'Firebase')
2023;4.g.19;Vertica;('P4_g_19 ', 'Vertica')
2023;4.g.20;Redis;('P4_g_20 ', 'Redis')
2023;4.g.21;Neo4J;('P4_g_21 ', 'Neo4J')
2023;4.g.22;Google BigQuery;('P4_g_22 ', 'Google BigQuery')
2023;4.g.23;Google Firestore;('P4_g_23 ', 'Google Firestore')
2023;4.g.24;Amazon Redshift;('P4_g_24 ', 'Amazon Redshift')
2023;4.g.25;Amazon Athena;('P4_g_25 ', 'Amazon Athena')
2023;4.g.26;Snowflake;('P4_g_26 ', 'Snowflake')
2023;4.g.27;Databricks;('P4_g_27 ', 'Databricks')
2023;4.g.28;HBase;('P4_g_28 ', 'HBase')
2023;4.g.29;Presto;('P4_g_29 ', 'Presto')
2023;4.g.30;Splunk;('P4_g_30 ', 'Splunk')
2023;4.g.31;SAP HANA;('P4_g_31 ', 'SAP HANA')
2023;4.g.32;Hive;('P4_g_32 ', 'Hive')
2023;4.g.33;Firebird;('P4_g_33 ', 'Firebird')
2023;4.h;Dentre as opções listadas, qual sua Cloud preferida?;('P4_h ', 'Dentre as opções listadas, qual sua Cloud preferida?')
2023;4.h.1;Azure (Microsoft);('P4_h_1 ', 'Azure (Microsoft)')
2023;4.h.2;Amazon Web Services (AWS);('P4_h_2 ', 'Amazon Web Services (AWS)')
2023;4.h.3;Google Cloud (GCP);('P4_h_3 ', 'Google Cloud (GCP)')
2023;4.h.4;Oracle Cloud;('P4_h_4 ', 'Oracle Cloud')
2023;4.h.5;IBM;('P4_h_5 ', 'IBM')
2023;4.h.6;Servidores On Premise/Não utilizamos Cloud;('P4_h_6 ', 'Servidores On Premise/Não utilizamos Cloud')
2023;4.h.7;Cloud Própria;('P4_h_7 ', 'Cloud Própria')
2023;4.i;Cloud preferida;('P4_i ', 'Cloud preferida')
2023;4.j;Ferramenta de BI utilizada no dia a dia;('P4_j ', 'Ferramenta de BI utilizada no dia a dia')
2023;4.j.1;Microsoft PowerBI;('P4_j_1 ', 'Microsoft PowerBI')
2023;4.j.2;Qlik View/Qlik Sense;('P4_j_2 ', 'Qlik View/Qlik Sense')
2023;4.j.3;Tableau;('P4_j_3 ', 'Tableau')
2023;4.j.4;Metabase;('P4_j_4 ', 'Metabase')
2023;4.j.5;Superset;('P4_j_5 ', 'Superset')
2023;4.j.6;Redash;('P4_j_6 ', 'Redash')
2023;4.j.7;Looker;('P4_j_7 ', 'Looker')
2023;4.j.8;Looker Studio(Google Data Studio);('P4_j_8 ', 'Looker Studio(Google Data Studio)')
2023;4.j.9;Amazon Quicksight;('P4_j_9 ', 'Amazon Quicksight')
2023;4.j.10;Mode;('P4_j_10 ', 'Mode')
2023;4.j.11;Alteryx;('P4_j_11 ', 'Alteryx')
2023;4.j.12;MicroStrategy;('P4_j_12 ', 'MicroStrategy')
2023;4.j.13;IBM Analytics/Cognos;('P4_j_13 ', 'IBM Analytics/Cognos')
2023;4.j.14;SAP Business Objects/SAP Analytics;('P4_j_14 ', 'SAP Business Objects/SAP Analytics')
2023;4.j.15;Oracle Business Intelligence;('P4_j_15 ', 'Oracle Business Intelligence')
2023;4.j.16;Salesforce/Einstein Analytics;('P4_j_16 ', 'Salesforce/Einstein Analytics')
2023;4.j.17;Birst;('P4_j_17 ', 'Birst')
2023;4.j.18;SAS Visual Analytics;('P4_j_18 ', 'SAS Visual Analytics')
2023;4.j.19;Grafana;('P4_j_19 ', 'Grafana')
2023;4.j.20;TIBCO Spotfire;('P4_j_20 ', 'TIBCO Spotfire')
2023;4.j.21;Pentaho;('P4_j_21 ', 'Pentaho')
2023;4.j.22;Fazemos todas as análises utilizando apenas Excel ou planilhas do google;('P4_j_22 ', 'Fazemos todas as análises utilizando apenas Excel ou planilhas do google')
2023;4.j.23;Não utilizo nenhuma ferramenta de BI no trabalho;('P4_j_23 ', 'Não utilizo nenhuma ferramenta de BI no trabalho')
2023;4.k;Qual sua ferramenta de BI preferida?;('P4_k ', 'Qual sua ferramenta de BI preferida?')
2023;4.l;Qual o tipo de uso de AI Generativa e LLMs na empresa;('P4_l ', 'Qual o tipo de uso de AI Generativa e LLMs na empresa')
2023;4.l.1;Colaboradores usando AI generativa de forma independente e descentralizada;('P4_l_1 ', 'Colaboradores usando AI generativa de forma independente e descentralizada')
2023;4.l.2;Direcionamento centralizado do uso de AI generativa;('P4_l_2 ', 'Direcionamento centralizado do uso de AI generativa')
2023;4.l.3;Desenvolvedores utilizando Copilots;('P4_l_3 ', 'Desenvolvedores utilizando Copilots')
2023;4.l.4;AI Generativa e LLMs para melhorar produtos externos para os clientes finais;('P4_l_4 ', 'AI Generativa e LLMs para melhorar produtos externos para os clientes finais')
2023;4.l.5;AI Generativa e LLMs para melhorar produtos internos para os colaboradores;('P4_l_5 ', 'AI Generativa e LLMs para melhorar produtos internos para os colaboradores')
2023;4.l.6;IA Generativa e LLMs como principal frente do negócio;('P4_l_6 ', 'IA Generativa e LLMs como principal frente do negócio')
2023;4.l.7;IA Generativa e LLMs não é prioridade;('P4_l_7 ', 'IA Generativa e LLMs não é prioridade')
2023;4.l.8;Não sei opinar sobre o uso de IA Generativa e LLMs na empresa;('P4_l_8 ', 'Não sei opinar sobre o uso de IA Generativa e LLMs na empresa')
2023;4.m;Utiliza ChatGPT ou LLMs no trabalho?;('P4_m ', 'Utiliza ChatGPT ou LLMs no trabalho?')
2023;4.m.1;Não uso soluções de AI Generativa com foco em produtividade;('P4_m_1 ', 'Não uso soluções de AI Generativa com foco em produtividade')
2023;4.m.2;Uso soluções gratuitas de AI Generativa com foco em produtividade;('P4_m_2 ', 'Uso soluções gratuitas de AI Generativa com foco em produtividade')
2023;4.m.3;Uso e pago pelas soluções de AI Generativa com foco em produtividade;('P4_m_3 ', 'Uso e pago pelas soluções de AI Generativa com foco em produtividade')
2023;4.m.4;A empresa que trabalho paga pelas soluções de AI Generativa com foco em produtividade;('P4_m_4 ', 'A empresa que trabalho paga pelas soluções de AI Generativa com foco em produtividade')
2023;4.m.5;Uso soluções do tipo Copilot;('P4_m_5 ', 'Uso soluções do tipo Copilot')
2023;5.a;Qual seu objetivo na área de dados?;('P5_a ', 'Qual seu objetivo na área de dados?')
2023;5.b;Qual oportunidade você está buscando?;('P5_b ', 'Qual oportunidade você está buscando?')
2023;5.c;Há quanto tempo você busca uma oportunidade na área de dados?;('P5_c ', 'Há quanto tempo você busca uma oportunidade na área de dados?')
2023;5.d;Como tem sido a busca por um emprego na área de dados?;('P5_d ', 'Como tem sido a busca por um emprego na área de dados?')
2023;6.a;Quais das opções abaixo fazem parte da sua rotina no trabalho atual como engenheiro de dados?;('P6_a ', 'Quais das opções abaixo fazem parte da sua rotina no trabalho atual como engenheiro de dados?')
2023;6.a.1;Desenvolvo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.;('P6_a_1 ', 'Desenvolvo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.')
2023;6.a.2;Realizo construções de ETL's em ferramentas como Pentaho, Talend, Dataflow etc.;('P6_a_2 ', 'Realizo construções de ETL's em ferramentas como Pentaho, Talend, Dataflow etc.')
2023;6.a.3;Crio consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.;('P6_a_3 ', 'Crio consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.')
2023;6.a.4;Atuo na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.;('P6_a_4 ', 'Atuo na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.')
2023;6.a.5;Modelo soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.;('P6_a_5 ', 'Modelo soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.')
